Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Total Population,Population Density,Housing Units,Occupied Units,Vacant Units,White Pop,Black Pop,Am Indian Alaskan Native Pop,Asian,Native Hawaiian or PI,Other,Two or More Races,Non Hispanic,Hispanic
6065043229,Census Tract 432.29,"Census Tract 432.29, Riverside County, California",0,6,65,,43229,5186,4688.474519,2531,2446,85,3711,149,22,286,21,310,687,4130,1056
6065043235,Census Tract 432.35,"Census Tract 432.35, Riverside County, California",0,6,65,,43235,11292,1934.12414,3155,3081,74,5134,1087,89,1872,73,991,2046,8220,3072
6065043246,Census Tract 432.46,"Census Tract 432.46, Riverside County, California",0,6,65,,43246,5451,1084.952909,1803,1700,103,3672,140,59,422,10,298,850,4337,1114
6065043248,Census Tract 432.48,"Census Tract 432.48, Riverside County, California",0,6,65,,43248,4284,5391.733698,1350,1329,21,2486,224,46,609,25,262,632,3345,939
6065043252,Census Tract 432.52,"Census Tract 432.52, Riverside County, California",0,6,65,,43252,9821,5644.028845,2820,2767,53,4849,494,285,1832,64,630,1667,7670,2151
6065043254,Census Tract 432.54,"Census Tract 432.54, Riverside County, California",0,6,65,,43254,5069,248.5929888,1662,1612,50,2772,142,135,385,28,725,882,3309,1760
6065043256,Census Tract 432.56,"Census Tract 432.56, Riverside County, California",0,6,65,,43256,3585,4805.376463,1077,1064,13,1667,243,89,470,23,484,609,2366,1219
6065043262,Census Tract 432.62,"Census Tract 432.62, Riverside County, California",0,6,65,,43262,5061,3694.224676,1807,1761,46,3425,160,58,292,13,410,703,3833,1228
6065043264,Census Tract 432.64,"Census Tract 432.64, Riverside County, California",0,6,65,,43264,7314,7063.561494,2313,2280,33,4491,186,73,633,27,684,1220,5368,1946
6065043265,Census Tract 432.65,"Census Tract 432.65, Riverside County, California",0,6,65,,43265,7944,4592.968698,2531,2466,65,4985,247,93,761,20,568,1270,6131,1813
6065043266,Census Tract 432.66,"Census Tract 432.66, Riverside County, California",0,6,65,,43266,4823,11921.23596,1784,1653,131,2057,346,96,616,35,883,790,3002,1821
6065043267,Census Tract 432.67,"Census Tract 432.67, Riverside County, California",0,6,65,,43267,6676,3266.590611,2470,2409,61,4667,195,48,437,20,363,946,5404,1272
6065043270,Census Tract 432.70,"Census Tract 432.70, Riverside County, California",0,6,65,,43270,6018,5034.138237,1915,1843,72,3129,293,102,480,59,866,1089,3934,2084
6065043271,Census Tract 432.71,"Census Tract 432.71, Riverside County, California",0,6,65,,43271,4543,2927.619251,1397,1342,55,2475,81,109,209,5,1015,649,2488,2055
6065043272,Census Tract 432.72,"Census Tract 432.72, Riverside County, California",0,6,65,,43272,5311,216.3650813,2089,1909,180,3692,145,42,270,10,385,767,4177,1134
6065043274,Census Tract 432.74,"Census Tract 432.74, Riverside County, California",0,6,65,,43274,2229,684.0674483,669,636,33,1070,113,50,144,3,446,403,1260,969
6065043276,Census Tract 432.76,"Census Tract 432.76, Riverside County, California",0,6,65,,43276,4092,1337.775181,1190,1177,13,2149,257,39,520,49,423,655,2943,1149
6065043278,Census Tract 432.78,"Census Tract 432.78, Riverside County, California",0,6,65,,43278,6510,1748.780154,2203,2118,85,3884,400,55,629,18,458,1066,4956,1554
6065043279,Census Tract 432.79,"Census Tract 432.79, Riverside County, California",0,6,65,,43279,5302,683.2863794,1857,1780,77,3379,122,87,175,20,758,761,3531,1771
6065043292,Census Tract 432.92,"Census Tract 432.92, Riverside County, California",0,6,65,,43292,3656,86.52605178,1414,1241,173,2612,54,54,164,12,303,457,2853,803
6065043293,Census Tract 432.93,"Census Tract 432.93, Riverside County, California",0,6,65,,43293,3086,49.71934163,1210,1085,125,2210,46,42,117,5,258,408,2330,756
6065043294,Census Tract 432.94,"Census Tract 432.94, Riverside County, California",0,6,65,,43294,4338,3618.698588,1227,1208,19,2614,172,63,358,28,375,728,3116,1222
6065043295,Census Tract 432.95,"Census Tract 432.95, Riverside County, California",0,6,65,,43295,4889,3995.858281,1425,1398,27,2454,328,42,540,35,545,945,3246,1643
6065043296,Census Tract 432.96,"Census Tract 432.96, Riverside County, California",0,6,65,,43296,3303,1286.217503,940,886,54,1690,211,23,518,22,360,479,2438,865
6065043297,Census Tract 432.97,"Census Tract 432.97, Riverside County, California",0,6,65,,43297,8903,695.3304516,2498,2434,64,4228,671,98,1513,19,885,1489,6348,2555
6065043298,Census Tract 432.98,"Census Tract 432.98, Riverside County, California",0,6,65,,43298,4864,6229.309915,1790,1753,37,2732,306,48,550,34,389,805,3562,1302
6065043304,Census Tract 433.04,"Census Tract 433.04, Riverside County, California",0,6,65,,43304,7744,186.3513071,2900,2718,182,4877,280,143,326,36,1163,919,5165,2579
6065043306,Census Tract 433.06,"Census Tract 433.06, Riverside County, California",0,6,65,,43306,5172,6954.485976,1862,1795,67,2334,383,99,209,19,1164,964,2655,2517
6065043307,Census Tract 433.07,"Census Tract 433.07, Riverside County, California",0,6,65,,43307,6770,4807.36871,2739,2571,168,3199,586,94,252,16,1618,1005,3697,3073
6065043308,Census Tract 433.08,"Census Tract 433.08, Riverside County, California",0,6,65,,43308,3230,8609.003328,1073,1026,47,1091,348,105,85,4,1157,440,1329,1901
6065043309,Census Tract 433.09,"Census Tract 433.09, Riverside County, California",0,6,65,,43309,3329,7086.520312,1165,1056,109,1321,317,68,77,14,1029,503,1442,1887
6065043310,Census Tract 433.10,"Census Tract 433.10, Riverside County, California",0,6,65,,43310,3634,5631.105998,1151,1099,52,1494,411,55,60,9,1135,470,1657,1977
6065043311,Census Tract 433.11,"Census Tract 433.11, Riverside County, California",0,6,65,,43311,2483,5032.979749,748,719,29,1228,137,44,57,8,683,326,1237,1246
6065043312,Census Tract 433.12,"Census Tract 433.12, Riverside County, California",0,6,65,,43312,4391,7795.911905,1291,1246,45,1739,227,87,87,29,1451,771,1706,2685
6065043313,Census Tract 433.13,"Census Tract 433.13, Riverside County, California",0,6,65,,43313,3802,6874.383046,1092,1061,31,1568,214,92,73,19,1280,556,1535,2267
6065043314,Census Tract 433.14,"Census Tract 433.14, Riverside County, California",0,6,65,,43314,4126,5492.494406,1208,1164,44,1990,160,135,88,4,1119,630,2047,2079
6065043315,Census Tract 433.15,"Census Tract 433.15, Riverside County, California",0,6,65,,43315,2350,3482.650638,733,691,42,1285,123,80,50,6,487,319,1381,969
6065043316,Census Tract 433.16,"Census Tract 433.16, Riverside County, California",0,6,65,,43316,4014,2055.245728,1876,1759,117,2454,449,35,266,4,328,478,3108,906
6065043318,Census Tract 433.18,"Census Tract 433.18, Riverside County, California",0,6,65,,43318,4406,6288.613102,1687,1559,128,2150,365,94,224,10,921,642,2694,1712
6065043319,Census Tract 433.19,"Census Tract 433.19, Riverside County, California",0,6,65,,43319,4968,510.7574081,1287,1260,27,1965,577,125,307,39,1170,785,2607,2361
6065043401,Census Tract 434.01,"Census Tract 434.01, Riverside County, California",0,6,65,,43401,6548,5228.83059,2189,2005,184,2401,737,152,128,20,2066,1044,2732,3816
6065043403,Census Tract 434.03,"Census Tract 434.03, Riverside County, California",0,6,65,,43403,3081,8210.146149,1083,1033,50,1186,363,84,78,10,911,449,1380,1701
6065043404,Census Tract 434.04,"Census Tract 434.04, Riverside County, California",0,6,65,,43404,2855,6237.776106,1587,1449,138,1590,234,62,70,5,512,382,1803,1052
6065043405,Census Tract 434.05,"Census Tract 434.05, Riverside County, California",0,6,65,,43405,5108,7675.503318,2331,2186,145,2034,809,103,88,26,1215,833,2834,2274
6065043503,Census Tract 435.03,"Census Tract 435.03, Riverside County, California",0,6,65,,43503,4898,4692.908094,2475,2206,269,2521,670,83,150,49,751,674,3124,1774
6065043505,Census Tract 435.05,"Census Tract 435.05, Riverside County, California",0,6,65,,43505,3244,6484.675024,1848,1738,110,1790,389,52,82,3,564,364,2146,1098
